
=== 西瓜信息表 (watermelon_data) ===
设备编号	采集时间戳	糖度(Brix)	成熟度	信息
1001-01-01	1778321700	11.87	0.950	{"clr": 6565, "nir": 14130, "c415": 5565, "c445": 5665, "c480": 5765, "c515": 5865, "c555": 5965, "c595": 6065, "c640": 6165, "c680": 6265}
1001-01-01	1778321400	11.58	0.926	{"clr": 6560, "nir": 14120, "c415": 5560, "c445": 5660, "c480": 5760, "c515": 5860, "c555": 5960, "c595": 6060, "c640": 6160, "c680": 6260}
1001-01-01	1778321100	11.63	0.930	{"clr": 6555, "nir": 14110, "c415": 5555, "c445": 5655, "c480": 5755, "c515": 5855, "c555": 5955, "c595": 6055, "c640": 6155, "c680": 6255}
1001-01-01	1778320800	11.70	0.936	{"clr": 6550, "nir": 14100, "c415": 5550, "c445": 5650, "c480": 5750, "c515": 5850, "c555": 5950, "c595": 6050, "c640": 6150, "c680": 6250}
1001-01-01	1778320500	11.79	0.943	{"clr": 6545, "nir": 14090, "c415": 5545, "c445": 5645, "c480": 5745, "c515": 5845, "c555": 5945, "c595": 6045, "c640": 6145, "c680": 6245}
1001-01-01	1778320200	11.51	0.921	{"clr": 6540, "nir": 14080, "c415": 5540, "c445": 5640, "c480": 5740, "c515": 5840, "c555": 5940, "c595": 6040, "c640": 6140, "c680": 6240}
1001-01-01	1778319900	11.84	0.947	{"clr": 6535, "nir": 14070, "c415": 5535, "c445": 5635, "c480": 5735, "c515": 5835, "c555": 5935, "c595": 6035, "c640": 6135, "c680": 6235}
1001-01-01	1778319600	11.53	0.922	{"clr": 6530, "nir": 14060, "c415": 5530, "c445": 5630, "c480": 5730, "c515": 5830, "c555": 5930, "c595": 6030, "c640": 6130, "c680": 6230}
1001-01-01	1778319300	11.70	0.936	{"clr": 6525, "nir": 14050, "c415": 5525, "c445": 5625, "c480": 5725, "c515": 5825, "c555": 5925, "c595": 6025, "c640": 6125, "c680": 6225}
1001-01-01	1778319000	11.70	0.936	{"clr": 6520, "nir": 14040, "c415": 5520, "c445": 5620, "c480": 5720, "c515": 5820, "c555": 5920, "c595": 6020, "c640": 6120, "c680": 6220}
1001-01-01	1778318700	11.65	0.932	{"clr": 6515, "nir": 14030, "c415": 5515, "c445": 5615, "c480": 5715, "c515": 5815, "c555": 5915, "c595": 6015, "c640": 6115, "c680": 6215}
1001-01-01	1778318400	11.55	0.924	{"clr": 6510, "nir": 14020, "c415": 5510, "c445": 5610, "c480": 5710, "c515": 5810, "c555": 5910, "c595": 6010, "c640": 6110, "c680": 6210}
1001-01-01	1778318100	11.81	0.945	{"clr": 6505, "nir": 14010, "c415": 5505, "c445": 5605, "c480": 5705, "c515": 5805, "c555": 5905, "c595": 6005, "c640": 6105, "c680": 6205}
1001-01-01	1778317800	11.62	0.930	{"clr": 6500, "nir": 14000, "c415": 5500, "c445": 5600, "c480": 5700, "c515": 5800, "c555": 5900, "c595": 6000, "c640": 6100, "c680": 6200}
1001-01-01	1778317500	11.60	0.928	{"clr": 6495, "nir": 13990, "c415": 5495, "c445": 5595, "c480": 5695, "c515": 5795, "c555": 5895, "c595": 5995, "c640": 6095, "c680": 6195}
1001-01-01	1778317200	11.78	0.942	{"clr": 6490, "nir": 13980, "c415": 5490, "c445": 5590, "c480": 5690, "c515": 5790, "c555": 5890, "c595": 5990, "c640": 6090, "c680": 6190}
1001-01-01	1778316900	11.55	0.924	{"clr": 6485, "nir": 13970, "c415": 5485, "c445": 5585, "c480": 5685, "c515": 5785, "c555": 5885, "c595": 5985, "c640": 6085, "c680": 6185}
1001-01-01	1778316600	11.76	0.941	{"clr": 6480, "nir": 13960, "c415": 5480, "c445": 5580, "c480": 5680, "c515": 5780, "c555": 5880, "c595": 5980, "c640": 6080, "c680": 6180}
1001-01-01	1778316300	11.67	0.934	{"clr": 6475, "nir": 13950, "c415": 5475, "c445": 5575, "c480": 5675, "c515": 5775, "c555": 5875, "c595": 5975, "c640": 6075, "c680": 6175}
1001-01-01	1778316000	11.59	0.927	{"clr": 6470, "nir": 13940, "c415": 5470, "c445": 5570, "c480": 5670, "c515": 5770, "c555": 5870, "c595": 5970, "c640": 6070, "c680": 6170}
1001-01-01	1778315700	11.74	0.939	{"clr": 6465, "nir": 13930, "c415": 5465, "c445": 5565, "c480": 5665, "c515": 5765, "c555": 5865, "c595": 5965, "c640": 6065, "c680": 6165}
1001-01-01	1778315400	11.49	0.919	{"clr": 6460, "nir": 13920, "c415": 5460, "c445": 5560, "c480": 5660, "c515": 5760, "c555": 5860, "c595": 5960, "c640": 6060, "c680": 6160}
1001-01-01	1778315100	11.69	0.935	{"clr": 6455, "nir": 13910, "c415": 5455, "c445": 5555, "c480": 5655, "c515": 5755, "c555": 5855, "c595": 5955, "c640": 6055, "c680": 6155}
1001-01-01	1778314800	11.57	0.926	{"clr": 6450, "nir": 13900, "c415": 5450, "c445": 5550, "c480": 5650, "c515": 5750, "c555": 5850, "c595": 5950, "c640": 6050, "c680": 6150}
1001-01-01	1778314500	11.45	0.916	{"clr": 6445, "nir": 13890, "c415": 5445, "c445": 5545, "c480": 5645, "c515": 5745, "c555": 5845, "c595": 5945, "c640": 6045, "c680": 6145}
1001-01-01	1778314200	11.56	0.925	{"clr": 6440, "nir": 13880, "c415": 5440, "c445": 5540, "c480": 5640, "c515": 5740, "c555": 5840, "c595": 5940, "c640": 6040, "c680": 6140}
1001-01-01	1778313900	11.50	0.920	{"clr": 6435, "nir": 13870, "c415": 5435, "c445": 5535, "c480": 5635, "c515": 5735, "c555": 5835, "c595": 5935, "c640": 6035, "c680": 6135}
1001-01-01	1778313600	11.64	0.931	{"clr": 6430, "nir": 13860, "c415": 5430, "c445": 5530, "c480": 5630, "c515": 5730, "c555": 5830, "c595": 5930, "c640": 6030, "c680": 6130}
1001-01-01	1778313300	11.63	0.930	{"clr": 6425, "nir": 13850, "c415": 5425, "c445": 5525, "c480": 5625, "c515": 5725, "c555": 5825, "c595": 5925, "c640": 6025, "c680": 6125}
1001-01-01	1778313000	11.70	0.936	{"clr": 6420, "nir": 13840, "c415": 5420, "c445": 5520, "c480": 5620, "c515": 5720, "c555": 5820, "c595": 5920, "c640": 6020, "c680": 6120}
1001-01-01	1778312700	11.69	0.935	{"clr": 6415, "nir": 13830, "c415": 5415, "c445": 5515, "c480": 5615, "c515": 5715, "c555": 5815, "c595": 5915, "c640": 6015, "c680": 6115}
1001-01-01	1778312400	11.51	0.921	{"clr": 6410, "nir": 13820, "c415": 5410, "c445": 5510, "c480": 5610, "c515": 5710, "c555": 5810, "c595": 5910, "c640": 6010, "c680": 6110}
1001-01-01	1778312100	11.49	0.919	{"clr": 6405, "nir": 13810, "c415": 5405, "c445": 5505, "c480": 5605, "c515": 5705, "c555": 5805, "c595": 5905, "c640": 6005, "c680": 6105}
1001-01-01	1778311800	11.50	0.920	{"clr": 6400, "nir": 13800, "c415": 5400, "c445": 5500, "c480": 5600, "c515": 5700, "c555": 5800, "c595": 5900, "c640": 6000, "c680": 6100}
1001-01-01	1778311500	11.68	0.934	{"clr": 6395, "nir": 13790, "c415": 5395, "c445": 5495, "c480": 5595, "c515": 5695, "c555": 5795, "c595": 5895, "c640": 5995, "c680": 6095}
1001-01-01	1778311200	11.70	0.936	{"clr": 6390, "nir": 13780, "c415": 5390, "c445": 5490, "c480": 5590, "c515": 5690, "c555": 5790, "c595": 5890, "c640": 5990, "c680": 6090}
1001-01-01	1778310900	11.40	0.912	{"clr": 6385, "nir": 13770, "c415": 5385, "c445": 5485, "c480": 5585, "c515": 5685, "c555": 5785, "c595": 5885, "c640": 5985, "c680": 6085}
1001-01-01	1778310600	11.45	0.916	{"clr": 6380, "nir": 13760, "c415": 5380, "c445": 5480, "c480": 5580, "c515": 5680, "c555": 5780, "c595": 5880, "c640": 5980, "c680": 6080}
1001-01-01	1778310300	11.76	0.941	{"clr": 6375, "nir": 13750, "c415": 5375, "c445": 5475, "c480": 5575, "c515": 5675, "c555": 5775, "c595": 5875, "c640": 5975, "c680": 6075}
1001-01-01	1778310000	11.44	0.915	{"clr": 6370, "nir": 13740, "c415": 5370, "c445": 5470, "c480": 5570, "c515": 5670, "c555": 5770, "c595": 5870, "c640": 5970, "c680": 6070}
1001-01-01	1778309700	11.49	0.919	{"clr": 6365, "nir": 13730, "c415": 5365, "c445": 5465, "c480": 5565, "c515": 5665, "c555": 5765, "c595": 5865, "c640": 5965, "c680": 6065}
1001-01-01	1778309400	11.42	0.914	{"clr": 6360, "nir": 13720, "c415": 5360, "c445": 5460, "c480": 5560, "c515": 5660, "c555": 5760, "c595": 5860, "c640": 5960, "c680": 6060}
1001-01-01	1778309100	11.40	0.912	{"clr": 6355, "nir": 13710, "c415": 5355, "c445": 5455, "c480": 5555, "c515": 5655, "c555": 5755, "c595": 5855, "c640": 5955, "c680": 6055}
1001-01-01	1778308800	11.68	0.934	{"clr": 6350, "nir": 13700, "c415": 5350, "c445": 5450, "c480": 5550, "c515": 5650, "c555": 5750, "c595": 5850, "c640": 5950, "c680": 6050}
1001-01-01	1778308500	11.74	0.939	{"clr": 6345, "nir": 13690, "c415": 5345, "c445": 5445, "c480": 5545, "c515": 5645, "c555": 5745, "c595": 5845, "c640": 5945, "c680": 6045}
1001-01-01	1778308200	11.61	0.929	{"clr": 6340, "nir": 13680, "c415": 5340, "c445": 5440, "c480": 5540, "c515": 5640, "c555": 5740, "c595": 5840, "c640": 5940, "c680": 6040}
1001-01-01	1778307900	11.39	0.911	{"clr": 6335, "nir": 13670, "c415": 5335, "c445": 5435, "c480": 5535, "c515": 5635, "c555": 5735, "c595": 5835, "c640": 5935, "c680": 6035}
1001-01-01	1778307600	11.73	0.938	{"clr": 6330, "nir": 13660, "c415": 5330, "c445": 5430, "c480": 5530, "c515": 5630, "c555": 5730, "c595": 5830, "c640": 5930, "c680": 6030}
1001-01-01	1778307300	11.57	0.926	{"clr": 6325, "nir": 13650, "c415": 5325, "c445": 5425, "c480": 5525, "c515": 5625, "c555": 5725, "c595": 5825, "c640": 5925, "c680": 6025}
